Company,TypeName,Ram,OpSys,Weight,PPI,TouchScreen,IPS,CPU_brand,HDD,SSD,GPU_brand
Apple,Ultrabook,8,Other,1.37,226.98300468106115,0,1,Intel Core i5,0,128,Intel
Apple,Ultrabook,8,Other,1.34,127.67794013309688,0,0,Intel Core i5,0,128,Intel
HP,Notebook,8,Other,1.86,141.21199808219862,0,0,Intel Core i5,0,256,Intel
Apple,Ultrabook,16,Other,1.83,220.53462386625827,0,1,Intel Core i7,0,512,AMD
Apple,Ultrabook,8,Other,1.37,226.98300468106115,0,1,Intel Core i5,0,256,Intel
Acer,Notebook,4,Windows,2.1,100.45466986113651,0,0,AMD Processor,500,0,AMD
Apple,Ultrabook,16,Mac,2.04,220.53462386625827,0,1,Intel Core i7,0,256,Intel
Apple,Ultrabook,8,Other,1.34,127.67794013309688,0,0,Intel Core i5,0,256,Intel
Asus,Ultrabook,16,Windows,1.3,157.3505121487356,0,0,Intel Core i7,0,512,Nvidia
Acer,Ultrabook,8,Windows,1.6,157.3505121487356,0,1,Intel Core i5,0,256,Intel
HP,Notebook,4,Other,1.86,100.45466986113651,0,0,Intel Core i5,500,0,Intel
HP,Notebook,4,Other,1.86,141.21199808219862,0,0,Intel Core i3,500,0,Intel
Apple,Ultrabook,16,Other,1.83,220.53462386625827,0,1,Intel Core i7,0,256,AMD
Dell,Notebook,4,Windows,2.2,141.21199808219862,0,0,Intel Core i3,0,256,AMD
Apple,Ultrabook,8,Other,0.92,226.41554716935852,0,1,Other Intel Processor,0,256,Intel
Apple,Ultrabook,8,Other,1.37,226.98300468106115,0,1,Intel Core i5,0,256,Intel
Dell,Notebook,8,Windows,2.2,141.21199808219862,0,0,Intel Core i7,0,256,AMD
Apple,Ultrabook,16,Other,1.83,220.53462386625827,0,1,Intel Core i7,0,512,AMD
Lenovo,Notebook,8,Other,2.2,141.21199808219862,0,0,Intel Core i3,1000,0,Nvidia
Dell,Ultrabook,8,Windows,1.22,165.6321180513006,1,1,Intel Core i5,0,128,Intel
Asus,Netbook,2,Windows,0.98,135.0942111925629,0,0,Other Intel Processor,0,32,Intel
Lenovo,Gaming,8,Windows,2.5,141.21199808219862,0,1,Intel Core i5,1000,128,Nvidia
HP,Notebook,4,Other,1.86,100.45466986113651,0,0,AMD Processor,500,0,AMD
Dell,2 in 1 Convertible,8,Windows,1.62,165.6321180513006,1,0,Intel Core i5,0,256,Intel
HP,Ultrabook,8,Windows,1.91,141.21199808219862,0,0,Intel Core i7,0,256,Intel
Dell,Notebook,4,Windows,2.3,100.45466986113651,0,0,Intel Core i3,1000,0,Intel
Apple,Ultrabook,8,Mac,1.35,127.67794013309688,0,0,Intel Core i5,0,128,Intel
Dell,Notebook,8,Windows,2.2,141.21199808219862,0,0,Intel Core i5,0,256,AMD
Dell,Ultrabook,8,Windows,1.88,141.21199808219862,0,0,Intel Core i7,0,512,Intel
HP,Notebook,8,Windows,2.5,127.33567457123111,0,0,Intel Core i5,1000,0,Nvidia
Chuwi,Notebook,4,Windows,1.89,141.21199808219862,0,0,Other Intel Processor,0,64,Intel
Asus,Notebook,2,Windows,1.65,111.93520355955211,0,0,AMD Processor,0,32,AMD
HP,Notebook,4,Windows,2.71,127.33567457123111,0,0,AMD Processor,500,0,AMD
Dell,Ultrabook,16,Windows,1.2,276.053530085501,1,0,Intel Core i7,0,512,Intel
Apple,Ultrabook,8,Mac,1.35,127.67794013309688,0,0,Intel Core i5,0,256,Intel
Lenovo,Notebook,4,Windows,1.44,111.93520355955211,0,0,Other Intel Processor,0,64,Intel
Acer,Notebook,4,Other,2.1,100.45466986113651,0,0,Intel Core i3,1000,0,Intel
Dell,Notebook,8,Windows,2.8,127.33567457123111,0,1,Intel Core i5,1000,128,AMD
HP,Notebook,4,Windows,1.86,100.45466986113651,0,0,Intel Core i5,1000,0,Intel
HP,Notebook,8,Windows,2.1,141.21199808219862,0,0,Intel Core i5,0,256,Nvidia
Asus,Notebook,4,Other,2.0,141.21199808219862,0,0,Intel Core i3,1000,0,Intel
Dell,Gaming,16,Windows,2.65,141.21199808219862,0,1,Intel Core i7,1000,256,Nvidia
Asus,Notebook,8,Other,2.3,100.45466986113651,0,0,Intel Core i5,1000,0,Nvidia
Acer,Notebook,4,Windows,2.2,141.21199808219862,0,1,Intel Core i5,0,256,Intel
Dell,2 in 1 Convertible,12,Windows,2.77,127.33567457123111,1,0,Intel Core i5,1000,0,Nvidia
Apple,Ultrabook,8,Other,1.37,226.98300468106115,0,1,Intel Core i5,0,256,Intel
